cleaned_term,source_code,source_term,mapped_concept_id,mapped_concept_name,mapped_rationale
papulosquamous disorders,42490238,Other specified papulosquamous disorders,4330878,Papulosquamous dermatosis,"The target concept ""Papulosquamous dermatosis"" is clinically and semantically equivalent to the source term ""papulosquamous disorders."" Both describe the same class of skin conditions characterized by papules and scales. The term is neither broader nor more specific than the source, maintaining exact clinical scope. No other candidate provides a closer or more precise match without adding or omitting clinical detail."
Papulosquamous disorders,42490240,Papulosquamous disorders in diseases classified elsewhere,4330878,Papulosquamous dermatosis,"The concept ""Papulosquamous dermatosis"" designates the same category of skin disease characterized by papules and scales as the source term ""Papulosquamous disorders."" It matches the source in scope and specificity, whereas the other candidates are either subtypes (e.g., psoriasiform dermatitis) or represent related but distinct conditions (e.g., erythematosquamous dermatosis)."
Arthritis of forearm,42490575,"Arthritis in other bacterial diseases classified elsewhere, forearm",-1,no_match,"No candidate preserves both required elements: (1) the specific diagnosis of arthritis and (2) the anatomical site 'forearm'. Concepts that mention arthritis lack the forearm location (e.g., Arthritis of elbow, Arthritis of wrist, general Arthritis), while the single concept that refers to the forearm (Disorder of forearm) is too broad and does not specify arthritis. Therefore, no exact clinical equivalent exists among the provided candidates."
Arthritis of lower leg,42490600,"Arthritis in other viral diseases classified elsewhere, lower leg",-1,no_match,"The source term specifies arthritis located in the lower leg. All candidates either 1) lack the anatomic qualifier (e.g., generic ""Arthritis""), 2) refer to a broader region such as the entire lower limb (""Lower limb joint arthritis""), or 3) focus on a particular joint or subtype not implied by the source (e.g., ""Arthritis of knee,"" ""Gouty arthritis""). None preserve exactly the same level of anatomic specificity without adding or omitting detail, so no exact match is available."
Rheumatoid arthritis with involvement of other organs and systems,42490762,Rheumatoid arthritis with involvement of other organs and systems,4200987,Extra-articular rheumatoid process,"The source term denotes rheumatoid arthritis that has extended beyond the joints, producing extra-articular (systemic, organ) manifestations. Among the candidates, only “Extra-articular rheumatoid process” explicitly represents rheumatoid disease with involvement of organs and systems outside the joints. It preserves the same level of specificity (rheumatoid pathology plus extra-articular involvement) without adding or omitting clinical detail. All other candidates are either generic rheumatoid arthritis (lack organ involvement) or focus on specific joints or a single manifestation, thereby failing to capture the systemic involvement required by the source term."
"Seronegative rheumatoid arthritis, shoulder region",42490880,"Seronegative rheumatoid arthritis, shoulder region",1244750,Seronegative rheumatoid arthritis of joint of shoulder region,"Concept 1244750 explicitly represents seronegative rheumatoid arthritis involving the shoulder region joint with no added laterality or other qualifiers, exactly matching the clinical detail of the source term. Other candidates are either more specific (left/right/bilateral shoulder) or more general (location unspecified or seropositive)."
"chondrocalcinosis, lower leg",42491304,"Other chondrocalcinosis, lower leg",-1,no_match,"None of the candidate concepts exactly represent chondrocalcinosis specifically located in the lower leg. 
• Concept 437064 (""Chondrocalcinosis"") lacks the required anatomical qualifier, making it more general than the source term.
• Concept 72986 (""Disorder of lower leg"") lacks the specific pathology (chondrocalcinosis), so it is too broad.
• All other candidates specify other anatomic sites (knee, ankle, foot, elbow, hip) or particular sub-types (familial, crystal-specific), making them either location-mismatched or overly specific relative to the source.
Therefore, no exact clinical equivalent is present among the given target concepts."
"Varus deformity, multiple sites",42491566,"Varus deformity, NEC, multiple sites",-1,no_match,"None of the candidate concepts represents a varus deformity involving multiple anatomical sites without adding or omitting clinically relevant details. Each candidate is either limited to a single body part (e.g., limb, knee, ankle, foot, tibia), restricted to a specific laterality, or specifies the deformity as acquired or congenital—information not present in the source term. Therefore, no exact equivalent concept is available among the provided options."
secondary scoliosis,42492095,"Other secondary scoliosis, site unspecified",4006163,Acquired scoliosis,"""Secondary scoliosis"" refers to a spinal curvature that develops as a consequence of another underlying condition (non-idiopathic, non-congenital). In SNOMED CT the concept that carries the same meaning is ""Acquired scoliosis"" (concept_id 4006163), defined as scoliosis that develops after birth secondary to another disorder, trauma, degeneration, etc. It preserves the key clinical idea (scoliosis that is not idiopathic or primary) without adding or omitting details. All other candidates are either broader (""Scoliosis deformity of spine""), pertain to other curve types (e.g., kyphosis), or introduce additional specifics (location, etiology, age group) not present in the source. Hence 4006163 is the single best equivalent match."
"recurrent vertebral subluxation, occipito-atlanto-axial region",42492193,"Other recurrent vertebral subluxation, occipito-atlanto-axial region",-1,no_match,"The source term specifies a recurrent vertebral subluxation specifically involving the occipito-atlanto-axial region. None of the candidate concepts simultaneously capture (1) recurrence, (2) subluxation, and (3) the combined occipito-atlanto-axial location without adding extra detail (e.g., myelopathy) or omitting required detail (e.g., recurrence or specific joint/region). Therefore, no exact clinical equivalent is present among the provided concepts."
